OBJECTID,MIN,MAX,MEAN,STD,year,type,MIN_1,MAX_1,MEAN_1,STD_1,MIN_12,MAX_12,MAJORITY,MIN_12_13,MAX_12_13,MEAN_12,MAJORITY_1
1,1902.959960937500000,1936.369995117187500,1918.733704588283672,8.528808101956203,2023,4,7.408226013183594,31.233182907104492,18.958948624400666,4.048776408990766,1,1,1,2,2,2.000000000000000,2
2,1902.000000000000000,1916.380004882812500,1907.017004394531341,3.668556182589691,2023,4,7.441398143768311,23.175531387329102,14.146109056472778,4.376657797809676,1,1,1,2,2,2.000000000000000,2
3,1900.770019531250000,1914.500000000000000,1906.015509033203216,3.515513950819267,2023,4,3.044284582138062,20.282751083374023,13.094086205959320,4.556801131027265,1,1,1,2,2,2.000000000000000,2
4,1900.239990234375000,1912.699951171875000,1905.254498291015580,3.526061714841777,2023,4,6.358773708343506,20.608926773071289,12.901328396797179,4.165033144760923,1,1,1,2,2,2.000000000000000,2
5,1899.050048828125000,1911.119995117187500,1904.579010009765625,3.769142287352112,2023,4,6.906883239746094,23.464090347290039,14.434412479400635,4.207885829572433,1,1,1,2,2,2.000000000000000,2
6,1920.369995117187500,1950.750000000000000,1939.023594782902592,6.345129210175327,2023,4,13.679473876953125,31.725419998168945,20.966378908890945,4.094068523630140,1,2,1,2,2,2.000000000000000,2
7,1918.630004882812500,1930.880004882812500,1924.755004882812500,6.125000000000000,2023,4,19.186365127563477,25.468021392822266,22.327193260192871,3.140828132629395,1,1,1,2,2,2.000000000000000,2
8,1916.540039062500000,1929.300048828125000,1922.920043945312500,6.380004882812500,2023,4,18.712587356567383,20.652158737182617,19.682373046875000,0.969785690307617,1,1,1,2,2,2.000000000000000,2
9,1927.869995117187500,1927.869995117187500,1927.869995117187500,0.000000000000000,2023,4,17.214109420776367,17.214109420776367,17.214109420776367,0.000000000000000,1,1,1,2,2,2.000000000000000,2
10,1926.410034179687500,1926.410034179687500,1926.410034179687500,0.000000000000000,2023,4,20.448657989501953,20.448657989501953,20.448657989501953,0.000000000000000,1,1,1,2,2,2.000000000000000,2
11,1924.040039062500000,1924.040039062500000,1924.040039062500000,0.000000000000000,2023,4,24.265443801879883,24.265443801879883,24.265443801879883,0.000000000000000,1,1,1,2,2,2.000000000000000,2
12,1921.800048828125000,1921.800048828125000,1921.800048828125000,0.000000000000000,2023,4,21.759111404418945,21.759111404418945,21.759111404418945,0.000000000000000,1,1,1,2,2,2.000000000000000,2
13,1920.150024414062500,1920.150024414062500,1920.150024414062500,0.000000000000000,2023,4,18.577217102050781,18.577217102050781,18.577217102050781,0.000000000000000,1,1,1,2,2,2.000000000000000,2
14,1918.560058593750000,1918.560058593750000,1918.560058593750000,0.000000000000000,2023,4,19.443126678466797,19.443126678466797,19.443126678466797,0.000000000000000,1,1,1,2,2,2.000000000000000,2
15,1916.579956054687500,1916.579956054687500,1916.579956054687500,0.000000000000000,2023,4,20.284828186035156,20.284828186035156,20.284828186035156,0.000000000000000,1,1,1,2,2,2.000000000000000,2
16,1914.739990234375000,1914.739990234375000,1914.739990234375000,0.000000000000000,2023,4,19.132436752319336,19.132436752319336,19.132436752319336,0.000000000000000,1,1,1,2,2,2.000000000000000,2
17,1911.280029296875000,1913.099975585937500,1912.190002441406250,0.909973144531250,2023,4,15.833563804626465,17.113466262817383,16.473515033721924,0.639951229095459,1,1,1,2,2,2.000000000000000,2
18,1906.160034179687500,1912.310058593750000,1910.065022786458258,2.325828191349484,2023,4,9.765690803527832,17.784296035766602,14.589957078297934,3.010023844289574,1,1,1,2,2,2.000000000000000,2
19,1900.959960937500000,1912.969970703125000,1906.614981515067029,4.011863823274829,2023,4,8.699833869934082,20.705694198608398,15.603583267756871,3.627387686577319,1,1,1,2,2,2.000000000000000,2
20,1937.319946289062500,1961.130004882812500,1951.647374862279548,5.318824935627609,2023,4,9.099946022033691,25.858636856079102,17.294366255784645,3.934066207547531,1,2,1,2,2,2.000000000000000,2
21,1938.650024414062500,1940.790039062500000,1939.720031738281250,1.070007324218750,2023,4,12.860990524291992,26.420631408691406,19.640810966491699,6.779820442199707,1,1,1,2,2,2.000000000000000,2
22,1936.489990234375000,1939.609985351562500,1938.049987792968750,1.559997558593750,2023,4,15.651114463806152,27.830202102661133,21.740658283233643,6.089543819427490,1,1,1,2,2,2.000000000000000,2
23,1937.839965820312500,1937.839965820312500,1937.839965820312500,0.000000000000000,2023,4,15.190090179443359,15.190090179443359,15.190090179443359,0.000000000000000,1,1,1,2,2,2.000000000000000,2
24,1936.729980468750000,1936.729980468750000,1936.729980468750000,0.000000000000000,2023,4,13.331044197082520,13.331044197082520,13.331044197082520,0.000000000000000,1,1,1,2,2,2.000000000000000,2
25,1935.750000000000000,1935.750000000000000,1935.750000000000000,0.000000000000000,2023,4,13.156505584716797,13.156505584716797,13.156505584716797,0.000000000000000,1,1,1,2,2,2.000000000000000,2
26,1935.060058593750000,1935.060058593750000,1935.060058593750000,0.000000000000000,2023,4,14.450520515441895,14.450520515441895,14.450520515441895,0.000000000000000,1,1,1,2,2,2.000000000000000,2
27,1934.130004882812500,1934.130004882812500,1934.130004882812500,0.000000000000000,2023,4,16.711549758911133,16.711549758911133,16.711549758911133,0.000000000000000,1,1,1,2,2,2.000000000000000,2
28,1933.130004882812500,1933.130004882812500,1933.130004882812500,0.000000000000000,2023,4,17.215600967407227,17.215600967407227,17.215600967407227,0.000000000000000,1,1,1,2,2,2.000000000000000,2
29,1932.000000000000000,1932.000000000000000,1932.000000000000000,0.000000000000000,2023,4,19.510478973388672,19.510478973388672,19.510478973388672,0.000000000000000,1,1,1,2,2,2.000000000000000,2
30,1929.900024414062500,1929.900024414062500,1929.900024414062500,0.000000000000000,2023,4,20.440853118896484,20.440853118896484,20.440853118896484,0.000000000000000,1,1,1,2,2,2.000000000000000,2
31,1928.310058593750000,1928.310058593750000,1928.310058593750000,0.000000000000000,2023,4,18.787252426147461,18.787252426147461,18.787252426147461,0.000000000000000,1,1,1,2,2,2.000000000000000,2
32,1926.589965820312500,1926.589965820312500,1926.589965820312500,0.000000000000000,2023,4,21.583898544311523,21.583898544311523,21.583898544311523,0.000000000000000,1,1,1,2,2,2.000000000000000,2
33,1924.430053710937500,1924.430053710937500,1924.430053710937500,0.000000000000000,2023,4,24.195957183837891,24.195957183837891,24.195957183837891,0.000000000000000,1,1,1,2,2,2.000000000000000,2
34,1921.989990234375000,1921.989990234375000,1921.989990234375000,0.000000000000000,2023,4,22.729938507080078,22.729938507080078,22.729938507080078,0.000000000000000,1,1,1,2,2,2.000000000000000,2
35,1920.180053710937500,1920.180053710937500,1920.180053710937500,0.000000000000000,2023,4,18.708574295043945,18.708574295043945,18.708574295043945,0.000000000000000,1,1,1,2,2,2.000000000000000,2
36,1918.630004882812500,1918.630004882812500,1918.630004882812500,0.000000000000000,2023,4,17.011562347412109,17.011562347412109,17.011562347412109,0.000000000000000,1,1,1,2,2,2.000000000000000,2
37,1917.060058593750000,1917.060058593750000,1917.060058593750000,0.000000000000000,2023,4,18.456247329711914,18.456247329711914,18.456247329711914,0.000000000000000,1,1,1,2,2,2.000000000000000,2
38,1915.469970703125000,1915.469970703125000,1915.469970703125000,0.000000000000000,2023,4,18.692195892333984,18.692195892333984,18.692195892333984,0.000000000000000,1,1,1,2,2,2.000000000000000,2
39,1914.569946289062500,1914.569946289062500,1914.569946289062500,0.000000000000000,2023,4,19.680992126464844,19.680992126464844,19.680992126464844,0.000000000000000,1,1,1,2,2,2.000000000000000,2
40,1913.880004882812500,1914.050048828125000,1913.965026855468750,0.085021972656250,2023,4,21.266885757446289,22.143566131591797,21.705225944519043,0.438340187072754,1,1,1,2,2,2.000000000000000,2
41,1905.890014648437500,1914.790039062500000,1911.633341471354242,3.196842611969323,2023,4,9.767615318298340,24.362533569335938,20.004492918650310,5.202732842626643,1,1,1,2,2,2.000000000000000,2
42,1942.540039062500000,1962.369995117187500,1955.275196216724453,5.889397801798793,2023,4,10.189079284667969,27.860744476318359,15.140565130445692,3.358407692001624,1,1,1,2,2,2.000000000000000,2
43,1941.689941406250000,1941.689941406250000,1941.689941406250000,0.000000000000000,2023,4,11.838046073913574,11.838046073913574,11.838046073913574,0.000000000000000,1,1,1,2,2,2.000000000000000,2
44,1940.630004882812500,1940.630004882812500,1940.630004882812500,0.000000000000000,2023,4,12.982457160949707,12.982457160949707,12.982457160949707,0.000000000000000,1,1,1,2,2,2.000000000000000,2
45,1939.310058593750000,1939.310058593750000,1939.310058593750000,0.000000000000000,2023,4,13.765433311462402,13.765433311462402,13.765433311462402,0.000000000000000,1,1,1,2,2,2.000000000000000,2
46,1938.170043945312500,1938.170043945312500,1938.170043945312500,0.000000000000000,2023,4,12.542343139648438,12.542343139648438,12.542343139648438,0.000000000000000,1,1,1,2,2,2.000000000000000,2
47,1937.300048828125000,1937.300048828125000,1937.300048828125000,0.000000000000000,2023,4,11.468212127685547,11.468212127685547,11.468212127685547,0.000000000000000,1,1,1,2,2,2.000000000000000,2
48,1936.619995117187500,1936.619995117187500,1936.619995117187500,0.000000000000000,2023,4,11.762565612792969,11.762565612792969,11.762565612792969,0.000000000000000,1,1,1,2,2,2.000000000000000,2
49,1936.089965820312500,1936.089965820312500,1936.089965820312500,0.000000000000000,2023,4,12.629509925842285,12.629509925842285,12.629509925842285,0.000000000000000,1,1,1,2,2,2.000000000000000,2
50,1935.520019531250000,1935.520019531250000,1935.520019531250000,0.000000000000000,2023,4,16.129583358764648,16.129583358764648,16.129583358764648,0.000000000000000,1,1,1,2,2,2.000000000000000,2
51,1933.969970703125000,1933.969970703125000,1933.969970703125000,0.000000000000000,2023,4,19.891860961914062,19.891860961914062,19.891860961914062,0.000000000000000,1,1,1,2,2,2.000000000000000,2
52,1932.449951171875000,1932.449951171875000,1932.449951171875000,0.000000000000000,2023,4,22.060091018676758,22.060091018676758,22.060091018676758,0.000000000000000,1,1,1,2,2,2.000000000000000,2
53,1930.390014648437500,1930.390014648437500,1930.390014648437500,0.000000000000000,2023,4,22.327537536621094,22.327537536621094,22.327537536621094,0.000000000000000,1,1,1,2,2,2.000000000000000,2
54,1928.630004882812500,1928.630004882812500,1928.630004882812500,0.000000000000000,2023,4,21.326839447021484,21.326839447021484,21.326839447021484,0.000000000000000,1,1,1,2,2,2.000000000000000,2
55,1926.579956054687500,1926.579956054687500,1926.579956054687500,0.000000000000000,2023,4,21.760847091674805,21.760847091674805,21.760847091674805,0.000000000000000,1,1,1,2,2,2.000000000000000,2
56,1924.469970703125000,1924.469970703125000,1924.469970703125000,0.000000000000000,2023,4,22.499059677124023,22.499059677124023,22.499059677124023,0.000000000000000,1,1,1,2,2,2.000000000000000,2
57,1922.500000000000000,1922.500000000000000,1922.500000000000000,0.000000000000000,2023,4,23.630695343017578,23.630695343017578,23.630695343017578,0.000000000000000,1,1,1,2,2,2.000000000000000,2
58,1920.209960937500000,1920.209960937500000,1920.209960937500000,0.000000000000000,2023,4,20.452405929565430,20.452405929565430,20.452405929565430,0.000000000000000,1,1,1,2,2,2.000000000000000,2
59,1918.969970703125000,1918.969970703125000,1918.969970703125000,0.000000000000000,2023,4,15.051382064819336,15.051382064819336,15.051382064819336,0.000000000000000,1,1,1,2,2,2.000000000000000,2
60,1918.000000000000000,1918.000000000000000,1918.000000000000000,0.000000000000000,2023,4,15.336685180664062,15.336685180664062,15.336685180664062,0.000000000000000,1,1,1,2,2,2.000000000000000,2
61,1916.910034179687500,1916.910034179687500,1916.910034179687500,0.000000000000000,2023,4,17.206066131591797,17.206066131591797,17.206066131591797,0.000000000000000,1,1,1,2,2,2.000000000000000,2
