OBJECTID,MIN,MAX,MEAN,STD,year,type,MIN_1,MAX_1,MEAN_1,STD_1,MIN_12,MAX_12,MAJORITY,MIN_12_13,MAX_12_13,MEAN_12,MAJORITY_1
1,1866.040039062500000,1902.739990234375000,1885.421237521701414,9.761070819322393,2023,2,9.132068634033203,31.548168182373047,20.753266767471555,3.449166061984767,1,2,1,1,3,1.874193548387097,2
2,1866.050048828125000,1884.119995117187500,1871.321496582031159,5.814837213886959,2023,2,2.154372453689575,32.694965362548828,15.827663779258728,9.384008962749540,1,2,1,2,2,2.000000000000000,2
3,1865.770019531250000,1882.979980468750000,1870.596508789062455,5.509349569631448,2023,2,0.264357686042786,31.604743957519531,14.870934611558914,10.417937072072810,1,2,1,2,2,2.000000000000000,2
4,1865.030029296875000,1881.260009765625000,1869.990991210937409,5.131441834667506,2023,2,3.023303985595703,31.960891723632812,14.078988385200500,9.884377015635975,1,2,2,2,2,2.000000000000000,2
5,1864.310058593750000,1879.760009765625000,1869.643493652343750,4.753747344593683,2023,2,3.282855510711670,31.509443283081055,13.489437365531922,9.120334485657612,1,2,2,2,2,2.000000000000000,2
6,1881.699951171875000,1902.000000000000000,1890.235839843750000,6.795455161506609,2023,2,3.725510597229004,23.896507263183594,17.522958437601726,5.594508003513480,1,1,1,2,2,2.000000000000000,2
7,1882.000000000000000,1882.000000000000000,1882.000000000000000,0.000000000000000,2023,2,10.662821769714355,10.662821769714355,10.662821769714355,0.000000000000000,1,1,1,2,2,2.000000000000000,2
8,1879.300048828125000,1881.689941406250000,1880.494995117187500,1.194946289062500,2023,2,12.763038635253906,24.608745574951172,18.685892105102539,5.922853469848633,1,1,1,2,2,2.000000000000000,2
9,1878.689941406250000,1881.449951171875000,1880.069946289062500,1.380004882812500,2023,2,14.042074203491211,26.391876220703125,20.216975212097168,6.174901008605957,1,2,1,2,2,2.000000000000000,2
10,1866.550048828125000,1881.369995117187500,1872.072858537946331,5.379302408086986,2023,2,4.268807411193848,30.569686889648438,17.158798217773438,10.347423489200439,1,2,2,2,2,2.000000000000000,2
11,1864.670043945312500,1880.959960937500000,1868.848649088541606,4.340552083422121,2023,2,2.466436147689819,30.111963272094727,10.824810091654459,9.285682316409776,1,2,2,2,2,2.000000000000000,2
12,1865.060058593750000,1880.400024414062500,1868.954731188322285,4.115198820730147,2023,2,1.921552062034607,30.298128128051758,10.205587907841331,9.047881327737242,1,2,2,2,2,2.000000000000000,2
13,1881.260009765625000,1901.569946289062500,1889.813323974609375,6.624012861543799,2023,2,0.607789635658264,26.398126602172852,16.248045931259792,7.169808324978196,1,1,1,2,2,2.000000000000000,2
14,1882.000000000000000,1882.000000000000000,1882.000000000000000,0.000000000000000,2023,2,0.628064155578613,0.628064155578613,0.628064155578613,0.000000000000000,1,1,1,2,2,2.000000000000000,2
15,1882.000000000000000,1882.000000000000000,1882.000000000000000,0.000000000000000,2023,2,1.857310414314270,1.857310414314270,1.857310414314270,0.000000000000000,1,1,1,2,2,2.000000000000000,2
16,1882.030029296875000,1882.030029296875000,1882.030029296875000,0.000000000000000,2023,2,3.174303054809570,3.174303054809570,3.174303054809570,0.000000000000000,1,1,1,2,2,2.000000000000000,2
17,1879.619995117187500,1882.030029296875000,1880.825012207031250,1.205017089843750,2023,2,4.486608505249023,17.590126037597656,11.038367271423340,6.551758766174316,1,1,1,2,2,2.000000000000000,2
18,1878.599975585937500,1882.000000000000000,1880.299987792968750,1.700012207031250,2023,2,7.196797370910645,19.500188827514648,13.348493099212646,6.151695728302002,1,2,1,2,2,2.000000000000000,2
19,1866.819946289062500,1881.280029296875000,1872.434273856026721,5.145925089878467,2023,2,2.255473613739014,29.068395614624023,14.968155690601893,9.659507610768818,1,2,2,2,2,2.000000000000000,2
20,1865.619995117187500,1880.469970703125000,1869.087345377604152,4.195045926358331,2023,2,1.704596161842346,27.127870559692383,8.597671310106913,7.978391136673018,1,2,2,2,2,2.000000000000000,2
21,1881.780029296875000,1904.180053710937500,1895.390004882812491,7.322608510330525,2023,2,1.994198679924011,25.584320068359375,17.476704745292665,4.070745750614197,1,1,1,2,2,2.000000000000000,2
22,1882.000000000000000,1882.000000000000000,1882.000000000000000,0.000000000000000,2023,2,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1,1,1,2,2,2.000000000000000,2
23,1882.000000000000000,1882.000000000000000,1882.000000000000000,0.000000000000000,2023,2,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1,1,1,2,2,2.000000000000000,2
24,1882.000000000000000,1882.000000000000000,1882.000000000000000,0.000000000000000,2023,2,0.244164720177650,0.244164720177650,0.244164720177650,0.000000000000000,1,1,1,2,2,2.000000000000000,2
25,1882.050048828125000,1882.050048828125000,1882.050048828125000,0.000000000000000,2023,2,0.444145768880844,0.444145768880844,0.444145768880844,0.000000000000000,1,1,1,2,2,2.000000000000000,2
26,1882.069946289062500,1882.069946289062500,1882.069946289062500,0.000000000000000,2023,2,0.386853098869324,0.386853098869324,0.386853098869324,0.000000000000000,1,1,1,2,2,2.000000000000000,2
27,1879.469970703125000,1882.050048828125000,1880.760009765625000,1.290039062500000,2023,2,3.234411239624023,13.298514366149902,8.266462802886963,5.032051563262939,1,1,1,2,2,2.000000000000000,2
28,1878.290039062500000,1881.689941406250000,1879.989990234375000,1.699951171875000,2023,2,8.381649971008301,13.998042106628418,11.189846038818359,2.808196067810059,1,1,1,2,2,2.000000000000000,2
29,1867.010009765625000,1880.640014648437500,1872.827148437500000,4.723465149867346,2023,2,2.623996496200562,25.488080978393555,14.098748854228429,7.890633179482658,1,2,1,2,2,2.000000000000000,2
30,1865.359985351562500,1879.609985351562500,1869.231998697916652,4.078111934519138,2023,2,2.019276142120361,24.460338592529297,7.948708184560140,7.331208989372779,1,2,2,2,2,2.000000000000000,2
31,1864.229980468750000,1878.609985351562500,1868.592793782552008,3.580927703266274,2023,2,2.593613624572754,26.012416839599609,7.668355319235060,6.513148630038436,1,2,2,2,2,2.000000000000000,2
32,1864.689941406250000,1877.479980468750000,1868.477490234374955,3.050448725695765,2023,2,2.215735435485840,24.638702392578125,8.218779838085174,6.067098284186077,1,2,2,2,2,2.000000000000000,2
33,1882.000000000000000,1901.880004882812500,1890.688344319661383,6.333071333508542,2023,2,0.539350271224976,24.318218231201172,16.528762479623158,5.784565616396338,1,1,1,2,2,2.000000000000000,2
34,1882.000000000000000,1882.000000000000000,1882.000000000000000,0.000000000000000,2023,2,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1,1,1,2,2,2.000000000000000,2
35,1882.000000000000000,1882.000000000000000,1882.000000000000000,0.000000000000000,2023,2,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1,1,1,2,2,2.000000000000000,2
36,1882.000000000000000,1882.000000000000000,1882.000000000000000,0.000000000000000,2023,2,0.219327136874199,0.219327136874199,0.219327136874199,0.000000000000000,1,1,1,2,2,2.000000000000000,2
37,1882.040039062500000,1882.040039062500000,1882.040039062500000,0.000000000000000,2023,2,0.674525082111359,0.674525082111359,0.674525082111359,0.000000000000000,1,1,1,2,2,2.000000000000000,2
38,1882.119995117187500,1882.119995117187500,1882.119995117187500,0.000000000000000,2023,2,0.286546587944031,0.286546587944031,0.286546587944031,0.000000000000000,1,1,1,2,2,2.000000000000000,2
39,1882.079956054687500,1882.079956054687500,1882.079956054687500,0.000000000000000,2023,2,4.559638977050781,4.559638977050781,4.559638977050781,0.000000000000000,1,1,1,2,2,2.000000000000000,2
40,1881.400024414062500,1881.400024414062500,1881.400024414062500,0.000000000000000,2023,2,9.207314491271973,9.207314491271973,9.207314491271973,0.000000000000000,1,1,1,2,2,2.000000000000000,2
41,1880.550048828125000,1880.550048828125000,1880.550048828125000,0.000000000000000,2023,2,10.870871543884277,10.870871543884277,10.870871543884277,0.000000000000000,1,1,1,2,2,2.000000000000000,2
42,1876.520019531250000,1879.619995117187500,1878.070007324218750,1.549987792968750,2023,2,11.059434890747070,11.803798675537109,11.431616783142090,0.372181892395020,1,1,1,2,2,2.000000000000000,2
43,1875.729980468750000,1878.760009765625000,1877.244995117187500,1.515014648437500,2023,2,10.347180366516113,10.387598037719727,10.367389202117920,0.020208835601807,1,1,1,2,2,2.000000000000000,2
