OBJECTID,MIN,MAX,MEAN,STD,year,type,MIN_1,MAX_1,MEAN_1,STD_1,MIN_12,MAX_12,MAJORITY,MIN_12_13,MAX_12_13,MEAN_12_13,MAJORITY_1
1,1751.530029296875000,1782.489990234375000,1765.887914804312004,8.307025708046197,2010,0,2.045219898223877,35.569473266601562,17.903138918754383,6.266371991411648,1,2,1,2,2,2.000000000000000,2
2,1755.780029296875000,1781.290039062500000,1765.922149658203125,6.579055950141202,2010,0,2.320563316345215,25.845321655273438,12.491550803184509,4.920529995859113,1,1,1,2,2,2.000000000000000,2
3,1751.609985351562500,1756.280029296875000,1754.471679687500000,1.757424640957171,2010,0,0.923908054828644,25.558113098144531,11.367359489202499,8.537779962116241,1,1,1,2,2,2.000000000000000,2
4,1750.000000000000000,1758.500000000000000,1752.520678710937545,2.582158547234149,2010,0,2.102840662002563,31.095352172851562,16.614587736129760,8.887715801794661,1,1,1,2,2,2.000000000000000,2
5,1757.869995117187500,1780.060058593750000,1766.796546349158689,5.327780636018246,2010,0,3.169892311096191,23.934156417846680,11.656180895291842,4.995380593791899,1,1,1,2,2,2.000000000000000,2
6,1756.619995117187500,1756.619995117187500,1756.619995117187500,0.000000000000000,2010,0,8.636410713195801,8.636410713195801,8.636410713195801,0.000000000000000,1,1,1,2,2,2.000000000000000,2
7,1755.189941406250000,1756.380004882812500,1755.856648763020758,0.496302967309607,2010,0,4.552731513977051,19.742803573608398,9.624982833862305,7.154387948300184,1,1,1,2,2,2.000000000000000,2
8,1748.780029296875000,1756.150024414062500,1752.053344726562500,3.002014394485244,2010,0,9.578577995300293,31.259096145629883,22.857856591542561,7.924534331456270,1,1,1,2,2,2.000000000000000,2
9,1746.319946289062500,1756.469970703125000,1750.395996093750000,3.010337903907463,2010,0,3.617404222488403,27.958816528320312,18.619372924168903,7.838050867078856,1,1,1,2,2,2.000000000000000,2
10,1759.869995117187500,1777.469970703125000,1766.568842961238033,4.638516361548684,2010,0,1.558093309402466,25.013202667236328,9.875416132119986,5.722444670828498,1,1,1,2,2,2.000000000000000,2
11,1758.469970703125000,1758.469970703125000,1758.469970703125000,0.000000000000000,2010,0,19.245206832885742,19.245206832885742,19.245206832885742,0.000000000000000,1,1,1,2,2,2.000000000000000,2
12,1756.530029296875000,1756.530029296875000,1756.530029296875000,0.000000000000000,2010,0,15.776812553405762,15.776812553405762,15.776812553405762,0.000000000000000,1,1,1,2,2,2.000000000000000,2
13,1756.170043945312500,1756.170043945312500,1756.170043945312500,0.000000000000000,2010,0,17.589288711547852,17.589288711547852,17.589288711547852,0.000000000000000,1,1,1,2,2,2.000000000000000,2
14,1752.510009765625000,1755.000000000000000,1753.873331705729242,1.030215690223794,2010,0,24.737033843994141,26.338096618652344,25.443899790445965,0.666918359093118,1,1,1,2,2,2.000000000000000,2
15,1745.839965820312500,1753.250000000000000,1749.023315429687500,2.912729601071062,2010,0,19.406988143920898,28.405193328857422,23.561117490132649,3.380460276483828,1,1,1,2,2,2.000000000000000,2
16,1744.369995117187500,1754.199951171875000,1748.177327473958258,2.850664340408291,2010,0,5.179626464843750,25.983684539794922,17.659702301025391,5.465132136272011,1,1,1,2,2,2.000000000000000,2
17,1759.189941406250000,1769.849975585937500,1763.345374474158689,2.640601590056694,2010,0,1.452164888381958,18.017812728881836,8.816237422136160,6.505581281030526,1,1,1,2,2,2.000000000000000,2
18,1757.790039062500000,1757.790039062500000,1757.790039062500000,0.000000000000000,2010,0,19.769208908081055,19.769208908081055,19.769208908081055,0.000000000000000,1,1,1,2,2,2.000000000000000,2
19,1755.500000000000000,1755.500000000000000,1755.500000000000000,0.000000000000000,2010,0,22.410608291625977,22.410608291625977,22.410608291625977,0.000000000000000,1,1,1,2,2,2.000000000000000,2
20,1753.729980468750000,1753.729980468750000,1753.729980468750000,0.000000000000000,2010,0,25.540018081665039,25.540018081665039,25.540018081665039,0.000000000000000,1,1,1,2,2,2.000000000000000,2
21,1752.010009765625000,1752.010009765625000,1752.010009765625000,0.000000000000000,2010,0,26.667715072631836,26.667715072631836,26.667715072631836,0.000000000000000,1,1,1,2,2,2.000000000000000,2
22,1749.040039062500000,1750.800048828125000,1749.960042317708258,0.720744154226575,2010,0,17.731338500976562,21.288490295410156,19.827182133992512,1.519936110652448,1,2,1,2,2,2.000000000000000,2
23,1743.739990234375000,1749.810058593750000,1747.060017903645758,2.187652037366530,2010,0,8.127334594726562,19.212347030639648,15.132195949554443,3.969510875155924,1,2,1,2,2,2.000000000000000,2
24,1742.160034179687500,1751.630004882812500,1746.376660156249955,2.735908484019120,2010,0,2.796893119812012,24.199043273925781,16.762050565083822,5.887491362361444,1,1,1,2,2,2.000000000000000,2
25,1758.910034179687500,1769.400024414062500,1763.006141075721189,2.476985402483659,2010,0,1.897944331169128,19.351795196533203,8.558155160683851,6.339440131865464,1,1,1,2,2,2.000000000000000,2
26,1757.420043945312500,1757.420043945312500,1757.420043945312500,0.000000000000000,2010,0,18.013803482055664,18.013803482055664,18.013803482055664,0.000000000000000,1,1,1,2,2,2.000000000000000,2
27,1755.770019531250000,1755.770019531250000,1755.770019531250000,0.000000000000000,2010,0,24.003536224365234,24.003536224365234,24.003536224365234,0.000000000000000,1,1,1,2,2,2.000000000000000,2
28,1752.550048828125000,1752.550048828125000,1752.550048828125000,0.000000000000000,2010,0,26.331279754638672,26.331279754638672,26.331279754638672,0.000000000000000,1,2,1,2,2,2.000000000000000,2
