OBJECTID,MIN,MAX,MEAN,STD,year,type,MIN_1,MAX_1,MEAN_1,STD_1,MIN_12,MAX_12,MAJORITY,MIN_12_13,MAX_12_13,MEAN_12,MAJORITY_1
1,1886.699951171875000,1908.859985351562500,1896.962501330253417,5.821712359165343,2023,5,4.251940250396729,28.812192916870117,14.882548031134483,4.496027814889736,1,2,1,1,3,1.913738019169329,2
2,1886.819946289062500,1906.800048828125000,1893.277990722656341,5.853425508861286,2023,5,4.926483154296875,27.018989562988281,15.319795393943787,5.711081973781572,1,1,1,1,3,1.950000000000000,2
3,1886.410034179687500,1906.150024414062500,1892.518487548828034,5.802692597879858,2023,5,5.154625415802002,24.611654281616211,15.417491507530212,5.505071367400432,1,1,1,1,3,1.950000000000000,2
4,1885.599975585937500,1906.000000000000000,1891.714996337890625,5.642572679975872,2023,5,8.395346641540527,23.979671478271484,15.431493425369263,4.913755573620204,1,1,1,1,2,1.850000000000000,2
5,1889.709960937500000,1910.680053710937500,1904.638633034446002,5.121805956777864,2023,5,1.842831254005432,22.889047622680664,12.199173518202521,4.749548403456778,1,1,1,1,3,2.088888888888889,2
6,1908.000000000000000,1908.000000000000000,1908.000000000000000,0.000000000000000,2023,5,1.625375390052795,1.625375390052795,1.625375390052795,0.000000000000000,1,1,1,3,3,3.000000000000000,3
7,1907.989990234375000,1907.989990234375000,1907.989990234375000,0.000000000000000,2023,5,5.150623321533203,5.150623321533203,5.150623321533203,0.000000000000000,1,1,1,3,3,3.000000000000000,3
8,1905.520019531250000,1907.229980468750000,1906.375000000000000,0.854980468750000,2023,5,8.643336296081543,20.785390853881836,14.714363574981689,6.071027278900146,1,1,1,3,3,3.000000000000000,3
9,1898.770019531250000,1906.439941406250000,1902.476643880208258,3.136488081984616,2023,5,6.727032184600830,28.334449768066406,17.795792420705158,8.829151732039143,1,1,1,1,3,2.000000000000000,1
10,1887.489990234375000,1906.000000000000000,1896.994280133928669,5.183662695554012,2023,5,7.905066490173340,23.753223419189453,17.338174956185476,5.470191355698721,1,1,1,1,2,1.333333333333333,1
11,1884.790039062500000,1905.459960937500000,1891.949991861979242,5.793930993876062,2023,5,10.164764404296875,24.461029052734375,16.954658444722494,5.045522626708210,1,1,1,1,2,1.714285714285714,2
12,1883.989990234375000,1901.369995117187500,1890.040527343750000,4.930253985791219,2023,5,6.017950534820557,28.959072113037109,16.539604111721641,5.576578950924330,1,1,1,1,2,1.777777777777778,2
13,1892.369995117187500,1913.349975585937500,1906.745008988813879,4.681673712285612,2023,5,6.358773708343506,29.119743347167969,15.242362748492848,5.978362127156893,1,1,1,1,3,2.066666666666667,2
14,1906.719970703125000,1906.719970703125000,1906.719970703125000,0.000000000000000,2023,5,15.014637947082520,15.014637947082520,15.014637947082520,0.000000000000000,1,1,1,3,3,3.000000000000000,3
15,1907.579956054687500,1907.579956054687500,1907.579956054687500,0.000000000000000,2023,5,14.970890045166016,14.970890045166016,14.970890045166016,0.000000000000000,1,1,1,3,3,3.000000000000000,3
16,1908.000000000000000,1908.000000000000000,1908.000000000000000,0.000000000000000,2023,5,12.501993179321289,12.501993179321289,12.501993179321289,0.000000000000000,1,1,1,3,3,3.000000000000000,3
17,1907.729980468750000,1907.729980468750000,1907.729980468750000,0.000000000000000,2023,5,10.280301094055176,10.280301094055176,10.280301094055176,0.000000000000000,1,1,1,3,3,3.000000000000000,3
18,1907.209960937500000,1907.209960937500000,1907.209960937500000,0.000000000000000,2023,5,7.972619533538818,7.972619533538818,7.972619533538818,0.000000000000000,1,1,1,3,3,3.000000000000000,3
19,1906.699951171875000,1906.699951171875000,1906.699951171875000,0.000000000000000,2023,5,7.239558696746826,7.239558696746826,7.239558696746826,0.000000000000000,1,1,1,3,3,3.000000000000000,3
20,1899.439941406250000,1906.000000000000000,1902.719970703125000,3.280029296875000,2023,5,14.568093299865723,19.829881668090820,17.198987483978271,2.630894184112549,1,1,1,1,1,1.000000000000000,1
21,1896.550048828125000,1903.849975585937500,1899.396687825520758,3.189380593340436,2023,5,10.805005073547363,25.167127609252930,16.529161771138508,6.214786331173057,1,1,1,1,1,1.000000000000000,1
22,1886.739990234375000,1901.339965820312500,1894.507132393973279,4.224211517114022,2023,5,8.628909111022949,23.759469985961914,18.635804721287318,4.713124179357792,1,1,1,1,2,1.333333333333333,1
23,1883.150024414062500,1900.199951171875000,1889.463313802083348,4.869389286263893,2023,5,8.714101791381836,27.240684509277344,17.444223403930664,4.832157769642557,1,1,1,1,2,1.571428571428571,2
24,1882.339965820312500,1898.420043945312500,1887.543142218338744,4.310447085574615,2023,5,6.026484966278076,28.233476638793945,15.684844920509740,6.013738750433279,1,1,1,1,2,1.666666666666667,2
25,1881.630004882812500,1897.180053710937500,1886.586499023437455,3.857360181967012,2023,5,4.793851375579834,27.920366287231445,14.346154189109802,7.059336391855389,1,1,1,1,2,1.650000000000000,2
26,1881.510009765625000,1896.319946289062500,1885.477001953124955,3.450055503333961,2023,5,4.752566337585449,26.432151794433594,14.134904265403748,7.328882753307269,1,1,1,1,2,1.619047619047619,2
27,1880.589965820312500,1894.540039062500000,1884.332501220703080,3.139298041385029,2023,5,2.433466434478760,27.238735198974609,13.058283996582031,7.876621330181185,1,1,1,1,2,1.600000000000000,2
28,1880.280029296875000,1892.719970703125000,1883.384503173828080,2.938317029152461,2023,5,1.038348793983459,29.713518142700195,13.698339480161668,8.480119148947278,1,1,1,1,2,1.750000000000000,2
29,1879.060058593750000,1888.849975585937500,1882.119500732421784,2.559145814726342,2023,5,2.193666219711304,29.630132675170898,15.612910068035125,9.391304213685443,1,1,1,2,2,2.000000000000000,2
30,1895.239990234375000,1918.280029296875000,1909.401594682173254,4.865807564896826,2023,5,6.234249591827393,27.885787963867188,15.864957852797074,6.285553658166284,1,1,1,1,3,2.022222222222222,2
31,1907.300048828125000,1907.300048828125000,1907.300048828125000,0.000000000000000,2023,5,26.740114212036133,26.740114212036133,26.740114212036133,0.000000000000000,1,1,1,3,3,3.000000000000000,3
32,1905.270019531250000,1905.270019531250000,1905.270019531250000,0.000000000000000,2023,5,15.756301879882812,15.756301879882812,15.756301879882812,0.000000000000000,1,1,1,3,3,3.000000000000000,3
33,1904.920043945312500,1904.920043945312500,1904.920043945312500,0.000000000000000,2023,5,15.621562957763672,15.621562957763672,15.621562957763672,0.000000000000000,1,1,1,3,3,3.000000000000000,3
34,1905.540039062500000,1905.540039062500000,1905.540039062500000,0.000000000000000,2023,5,19.480646133422852,19.480646133422852,19.480646133422852,0.000000000000000,1,1,1,3,3,3.000000000000000,3
35,1905.819946289062500,1905.819946289062500,1905.819946289062500,0.000000000000000,2023,5,20.419918060302734,20.419918060302734,20.419918060302734,0.000000000000000,1,1,1,3,3,3.000000000000000,3
36,1906.040039062500000,1906.040039062500000,1906.040039062500000,0.000000000000000,2023,5,18.260978698730469,18.260978698730469,18.260978698730469,0.000000000000000,1,1,1,3,3,3.000000000000000,3
37,1906.300048828125000,1906.300048828125000,1906.300048828125000,0.000000000000000,2023,5,13.646255493164062,13.646255493164062,13.646255493164062,0.000000000000000,1,1,1,3,3,3.000000000000000,3
38,1906.000000000000000,1906.000000000000000,1906.000000000000000,0.000000000000000,2023,5,9.931682586669922,9.931682586669922,9.931682586669922,0.000000000000000,1,1,1,1,1,1.000000000000000,1
39,1905.449951171875000,1905.449951171875000,1905.449951171875000,0.000000000000000,2023,5,16.815292358398438,16.815292358398438,16.815292358398438,0.000000000000000,1,1,1,1,1,1.000000000000000,1
40,1903.060058593750000,1903.060058593750000,1903.060058593750000,0.000000000000000,2023,5,23.139709472656250,23.139709472656250,23.139709472656250,0.000000000000000,1,1,1,1,1,1.000000000000000,1
41,1901.380004882812500,1901.380004882812500,1901.380004882812500,0.000000000000000,2023,5,17.749851226806641,17.749851226806641,17.749851226806641,0.000000000000000,1,1,1,1,1,1.000000000000000,1
42,1900.189941406250000,1900.189941406250000,1900.189941406250000,0.000000000000000,2023,5,16.741596221923828,16.741596221923828,16.741596221923828,0.000000000000000,1,1,1,1,1,1.000000000000000,1
43,1898.410034179687500,1898.410034179687500,1898.410034179687500,0.000000000000000,2023,5,18.554117202758789,18.554117202758789,18.554117202758789,0.000000000000000,1,1,1,1,1,1.000000000000000,1
44,1896.900024414062500,1896.900024414062500,1896.900024414062500,0.000000000000000,2023,5,17.107877731323242,17.107877731323242,17.107877731323242,0.000000000000000,1,1,1,1,1,1.000000000000000,1
45,1895.739990234375000,1895.739990234375000,1895.739990234375000,0.000000000000000,2023,5,19.945655822753906,19.945655822753906,19.945655822753906,0.000000000000000,1,1,1,1,1,1.000000000000000,1
46,1888.060058593750000,1893.689941406250000,1890.875000000000000,2.814941406250000,2023,5,15.239275932312012,21.961315155029297,18.600295543670654,3.361019611358643,1,1,1,1,1,1.000000000000000,1
47,1883.699951171875000,1892.189941406250000,1887.489949544270758,3.525247004005974,2023,5,21.038171768188477,30.483636856079102,26.444817860921223,3.975543225630545,1,1,1,2,2,2.000000000000000,2
48,1877.949951171875000,1888.069946289062500,1881.232840401785779,3.507962438717789,2023,5,21.339330673217773,33.862056732177734,27.989844730922155,3.557291504812626,1,1,1,2,2,2.000000000000000,2
49,1897.770019531250000,1919.449951171875000,1911.301147460937500,4.874403316404794,2023,5,3.044284582138062,28.466053009033203,14.933091082356192,6.027612543391921,1,1,1,1,3,2.044444444444444,2
50,1912.369995117187500,1912.369995117187500,1912.369995117187500,0.000000000000000,2023,5,22.780994415283203,22.780994415283203,22.780994415283203,0.000000000000000,1,1,1,3,3,3.000000000000000,3
51,1910.589965820312500,1910.589965820312500,1910.589965820312500,0.000000000000000,2023,5,27.779235839843750,27.779235839843750,27.779235839843750,0.000000000000000,1,1,1,3,3,3.000000000000000,3
52,1907.010009765625000,1907.010009765625000,1907.010009765625000,0.000000000000000,2023,5,30.851215362548828,30.851215362548828,30.851215362548828,0.000000000000000,1,1,1,3,3,3.000000000000000,3
53,1904.410034179687500,1904.410034179687500,1904.410034179687500,0.000000000000000,2023,5,17.075908660888672,17.075908660888672,17.075908660888672,0.000000000000000,1,1,1,3,3,3.000000000000000,3
54,1904.000000000000000,1904.000000000000000,1904.000000000000000,0.000000000000000,2023,5,6.288953781127930,6.288953781127930,6.288953781127930,0.000000000000000,1,1,1,3,3,3.000000000000000,3
55,1904.000000000000000,1904.000000000000000,1904.000000000000000,0.000000000000000,2023,5,9.296238899230957,9.296238899230957,9.296238899230957,0.000000000000000,1,1,1,3,3,3.000000000000000,3
56,1904.089965820312500,1904.089965820312500,1904.089965820312500,0.000000000000000,2023,5,12.323388099670410,12.323388099670410,12.323388099670410,0.000000000000000,1,1,1,3,3,3.000000000000000,3
57,1904.310058593750000,1904.310058593750000,1904.310058593750000,0.000000000000000,2023,5,13.820752143859863,13.820752143859863,13.820752143859863,0.000000000000000,1,1,1,3,3,3.000000000000000,3
58,1904.790039062500000,1904.790039062500000,1904.790039062500000,0.000000000000000,2023,5,13.018708229064941,13.018708229064941,13.018708229064941,0.000000000000000,1,1,1,3,3,3.000000000000000,3
59,1905.250000000000000,1905.250000000000000,1905.250000000000000,0.000000000000000,2023,5,10.025095939636230,10.025095939636230,10.025095939636230,0.000000000000000,1,1,1,1,1,1.000000000000000,1
60,1904.900024414062500,1904.900024414062500,1904.900024414062500,0.000000000000000,2023,5,15.988642692565918,15.988642692565918,15.988642692565918,0.000000000000000,1,1,1,1,1,1.000000000000000,1
61,1902.829956054687500,1902.829956054687500,1902.829956054687500,0.000000000000000,2023,5,22.006507873535156,22.006507873535156,22.006507873535156,0.000000000000000,1,1,1,1,1,1.000000000000000,1
62,1900.969970703125000,1900.969970703125000,1900.969970703125000,0.000000000000000,2023,5,17.803585052490234,17.803585052490234,17.803585052490234,0.000000000000000,1,1,1,1,1,1.000000000000000,1
63,1899.630004882812500,1899.630004882812500,1899.630004882812500,0.000000000000000,2023,5,18.003351211547852,18.003351211547852,18.003351211547852,0.000000000000000,1,1,1,1,1,1.000000000000000,1
64,1897.959960937500000,1897.959960937500000,1897.959960937500000,0.000000000000000,2023,5,21.284313201904297,21.284313201904297,21.284313201904297,0.000000000000000,1,1,1,1,1,1.000000000000000,1
65,1896.060058593750000,1896.060058593750000,1896.060058593750000,0.000000000000000,2023,5,22.848253250122070,22.848253250122070,22.848253250122070,0.000000000000000,1,1,1,1,1,1.000000000000000,1
66,1894.109985351562500,1894.109985351562500,1894.109985351562500,0.000000000000000,2023,5,24.620962142944336,24.620962142944336,24.620962142944336,0.000000000000000,1,1,1,1,1,1.000000000000000,1
67,1887.099975585937500,1892.650024414062500,1889.875000000000000,2.775024414062500,2023,5,18.542591094970703,26.941219329833984,22.741905212402344,4.199314117431641,1,1,1,2,2,2.000000000000000,2
68,1882.530029296875000,1890.770019531250000,1886.216674804687500,3.419330871918777,2023,5,26.177310943603516,31.900369644165039,28.849743525187176,2.351683508512320,1,1,1,2,2,2.000000000000000,2
69,1876.619995117187500,1887.229980468750000,1880.075701032366169,3.550956406035887,2023,5,26.353818893432617,35.004318237304688,29.606684276035853,2.729958894273738,1,1,1,2,2,2.000000000000000,2
70,1913.380004882812500,1920.000000000000000,1917.488342285156250,2.503842298699735,2023,5,4.341215133666992,26.054435729980469,17.086390256881714,8.488714125285071,1,1,1,1,3,2.222222222222222,3
71,1911.010009765625000,1911.010009765625000,1911.010009765625000,0.000000000000000,2023,5,29.234231948852539,29.234231948852539,29.234231948852539,0.000000000000000,1,1,1,3,3,3.000000000000000,3
72,1907.719970703125000,1907.719970703125000,1907.719970703125000,0.000000000000000,2023,5,32.825305938720703,32.825305938720703,32.825305938720703,0.000000000000000,1,1,1,3,3,3.000000000000000,3
73,1904.510009765625000,1904.510009765625000,1904.510009765625000,0.000000000000000,2023,5,21.986314773559570,21.986314773559570,21.986314773559570,0.000000000000000,1,1,1,3,3,3.000000000000000,3
74,1904.000000000000000,1904.000000000000000,1904.000000000000000,0.000000000000000,2023,5,5.600477695465088,5.600477695465088,5.600477695465088,0.000000000000000,1,1,1,3,3,3.000000000000000,3
75,1903.890014648437500,1903.890014648437500,1903.890014648437500,0.000000000000000,2023,5,3.509907245635986,3.509907245635986,3.509907245635986,0.000000000000000,1,1,1,3,3,3.000000000000000,3
76,1903.520019531250000,1903.520019531250000,1903.520019531250000,0.000000000000000,2023,5,5.095127105712891,5.095127105712891,5.095127105712891,0.000000000000000,1,1,1,3,3,3.000000000000000,3
77,1903.589965820312500,1903.589965820312500,1903.589965820312500,0.000000000000000,2023,5,7.246859550476074,7.246859550476074,7.246859550476074,0.000000000000000,1,1,1,3,3,3.000000000000000,3
78,1903.930053710937500,1903.930053710937500,1903.930053710937500,0.000000000000000,2023,5,9.048049926757812,9.048049926757812,9.048049926757812,0.000000000000000,1,1,1,1,1,1.000000000000000,1
79,1904.300048828125000,1904.300048828125000,1904.300048828125000,0.000000000000000,2023,5,8.556694984436035,8.556694984436035,8.556694984436035,0.000000000000000,1,1,1,1,1,1.000000000000000,1
80,1904.160034179687500,1904.160034179687500,1904.160034179687500,0.000000000000000,2023,5,14.449647903442383,14.449647903442383,14.449647903442383,0.000000000000000,1,1,1,1,1,1.000000000000000,1
81,1901.959960937500000,1901.959960937500000,1901.959960937500000,0.000000000000000,2023,5,21.250123977661133,21.250123977661133,21.250123977661133,0.000000000000000,1,1,1,1,1,1.000000000000000,1
