OBJECTID,MIN,MAX,MEAN,STD,year,type,MIN_1,MAX_1,MEAN_1,STD_1,MIN_12,MAX_12,MAJORITY,MIN_12_13,MAX_12_13,MEAN_12,MAJORITY_1
1,1552.229980468750000,1578.369995117187500,1562.602645775579731,6.935372143841374,2023,0,3.138359785079956,32.815528869628906,15.181022363324319,6.449312895496427,2,3,2,2,2,2.000000000000000,2
2,1550.739990234375000,1573.170043945312500,1557.819488525390625,6.265128628530297,2023,0,2.593970298767090,31.551090240478516,15.703255224227906,10.222659392641503,2,3,3,2,2,2.000000000000000,2
3,1547.250000000000000,1572.000000000000000,1556.734997558593705,6.460121326257562,2023,0,1.715540528297424,33.905776977539062,17.197862058877945,11.349270214061459,2,3,3,2,2,2.000000000000000,2
4,1571.599975585937500,1579.869995117187500,1576.927696814903811,2.521447222113806,2023,0,15.027115821838379,23.332717895507812,19.288520666269157,2.731153722460572,2,2,2,2,2,2.000000000000000,2
5,1566.020019531250000,1574.770019531250000,1570.600016276041742,3.583917409373445,2023,0,15.718847274780273,20.248514175415039,17.813323338826496,1.864856647725324,2,2,2,2,2,2.000000000000000,2
6,1558.569946289062500,1573.310058593750000,1565.316670735677008,5.325112121852612,2023,0,2.094041585922241,26.992309570312500,17.084056973457336,9.006675536095381,2,3,2,2,2,2.000000000000000,2
7,1546.670043945312500,1573.040039062500000,1558.282023111979242,6.913390792934101,2023,0,0.802366495132446,37.116455078125000,18.457166449228922,12.785265988492368,2,3,3,2,2,2.000000000000000,2
8,1544.670043945312500,1572.489990234375000,1555.757889597039366,7.371097937223028,2023,0,0.461832255125046,39.239326477050781,18.234626567677449,11.472404450303966,2,3,3,2,2,2.000000000000000,2
9,1543.560058593750000,1571.859985351562500,1554.898504638671966,7.468405544895087,2023,0,0.474205613136292,38.719509124755859,17.889796262979509,11.606001756378987,2,3,3,2,2,2.000000000000000,2
10,1573.599975585937500,1581.199951171875000,1578.779144287109375,2.039559833563449,2023,0,16.332782745361328,23.588062286376953,19.549212932586670,2.224273257756727,2,2,2,2,2,2.000000000000000,2
11,1576.349975585937500,1576.349975585937500,1576.349975585937500,0.000000000000000,2023,0,19.465805053710938,19.465805053710938,19.465805053710938,0.000000000000000,2,2,2,2,2,2.000000000000000,2
12,1574.040039062500000,1574.040039062500000,1574.040039062500000,0.000000000000000,2023,0,15.598630905151367,15.598630905151367,15.598630905151367,0.000000000000000,2,2,2,2,2,2.000000000000000,2
13,1571.189941406250000,1574.000000000000000,1572.594970703125000,1.405029296875000,2023,0,11.985618591308594,27.735605239868164,19.860611915588379,7.874993324279785,2,2,2,2,2,2.000000000000000,2
14,1566.390014648437500,1573.609985351562500,1569.526652018229242,3.022600334560178,2023,0,14.476608276367188,27.859355926513672,20.849803924560547,5.481982349698153,2,2,2,2,2,2.000000000000000,2
15,1558.949951171875000,1573.319946289062500,1564.876647949218750,4.764979074693179,2023,0,8.515885353088379,25.344120025634766,18.507894833882649,6.202420182058815,2,3,2,2,2,2.000000000000000,2
16,1542.920043945312500,1572.540039062500000,1557.771354166666697,7.771317967987446,2023,0,1.251981735229492,37.857944488525391,18.900350817044576,12.215580756316724,2,3,3,2,2,2.000000000000000,2
17,1542.000000000000000,1570.979980468750000,1554.553145559210634,8.377262628289353,2023,0,0.625488638877869,37.328323364257812,19.588468896715266,10.958892845619697,2,3,3,2,2,2.000000000000000,2
18,1575.420043945312500,1582.520019531250000,1580.220021565755133,1.936960026844859,2023,0,17.026510238647461,24.062797546386719,20.247892697652180,1.615240461508116,2,2,2,2,2,2.000000000000000,2
