OBJECTID,MIN,MAX,MEAN,STD,year,type,MIN_1,MAX_1,MEAN_1,STD_1,MIN_12,MAX_12,MAJORITY,MIN_12_13,MAX_12_13,MEAN_12,MAJORITY_1
1,1796.810058593750000,1825.000000000000000,1810.879615661816160,6.829549387084193,2023,3,1.846438765525818,33.546279907226562,16.025285965718400,7.553629774496079,1,2,1,2,2,2.000000000000000,2
2,1796.010009765625000,1810.380004882812500,1800.790502929687591,4.314953094998412,2023,3,2.806860923767090,21.573202133178711,13.234421348571777,6.830955147335724,1,2,2,2,2,2.000000000000000,2
3,1795.589965820312500,1810.040039062500000,1799.867510986328170,3.907962393078509,2023,3,3.250217914581299,28.709091186523438,12.477269554138184,7.721303451839900,1,2,2,2,2,2.000000000000000,2
4,1810.959960937500000,1824.619995117187500,1817.726149338942378,4.851728481972328,2023,3,3.970156908035278,20.869575500488281,13.641979125829844,4.460158913828714,1,2,1,2,2,2.000000000000000,2
5,1808.939941406250000,1810.290039062500000,1809.614990234375000,0.675048828125000,2023,3,8.522890090942383,17.336187362670898,12.929538726806641,4.406648635864258,2,2,2,2,2,2.000000000000000,2
6,1799.130004882812500,1809.380004882812500,1803.750000000000000,3.508861400705966,2023,3,13.280867576599121,22.515220642089844,16.744762965611049,3.313457697899564,2,2,2,2,2,2.000000000000000,2
7,1795.000000000000000,1808.079956054687500,1799.089339192708394,3.863901245219563,2023,3,4.772275924682617,23.723596572875977,13.805733331044515,6.461523613315360,2,2,2,2,2,2.000000000000000,2
8,1794.400024414062500,1806.729980468750000,1797.712775336371578,3.468863943713427,2023,3,4.928386211395264,22.765316009521484,12.360859870910645,5.894595718167976,1,2,2,2,2,2.000000000000000,2
9,1793.949951171875000,1804.849975585937500,1796.907495117187409,2.860916497303442,2023,3,3.895990133285522,25.659893035888672,12.261459457874299,6.833755791332973,1,2,2,2,2,2.000000000000000,2
10,1810.969970703125000,1825.550048828125000,1817.633845402644283,5.000275954439644,2023,3,4.166327953338623,20.024305343627930,13.007691163283129,4.240508178690912,1,2,1,2,2,2.000000000000000,2
11,1810.290039062500000,1810.290039062500000,1810.290039062500000,0.000000000000000,2023,3,10.928026199340820,10.928026199340820,10.928026199340820,0.000000000000000,2,2,2,2,2,2.000000000000000,2
12,1808.979980468750000,1808.979980468750000,1808.979980468750000,0.000000000000000,2023,3,16.762580871582031,16.762580871582031,16.762580871582031,0.000000000000000,2,2,2,2,2,2.000000000000000,2
13,1807.119995117187500,1807.119995117187500,1807.119995117187500,0.000000000000000,2023,3,19.938232421875000,19.938232421875000,19.938232421875000,0.000000000000000,2,2,2,2,2,2.000000000000000,2
14,1801.930053710937500,1805.300048828125000,1803.615051269531250,1.684997558593750,2023,3,20.163423538208008,24.842891693115234,22.503157615661621,2.339734077453613,2,2,2,2,2,2.000000000000000,2
15,1793.300048828125000,1803.780029296875000,1798.764282226562500,2.948138447859132,2023,3,10.235054016113281,24.738731384277344,16.943591935294016,4.942681005536153,2,2,2,2,2,2.000000000000000,2
16,1792.060058593750000,1801.510009765625000,1795.398665364583394,2.694648691801342,2023,3,2.386980772018433,23.523643493652344,14.306219498316446,6.447865568821794,1,2,2,2,2,2.000000000000000,2
