id;Fecha;Incertidum;Fallecidos;Economicas
195;29/09/1987;Mid;0;0
196;29/09/1987;High;0;0
197;8/10/1987;Mid;0;0
198;8/10/1987;Mid;0;0
199;9/10/1987;Mid;0;0
200;27/12/1987;Mid;0;0
201;17/01/1988;High;0;0
202;25/06/1988;Mid;0;0
203;25/06/1988;Mid;0;0
204;25/06/1988;Mid;0;0
205;5/07/1988;Mid;0;12
206;5/07/1988;Mid;0;0
207;5/07/1988;Mid;0;0
208;7/07/1988;Mid;0;0
209;7/07/1988;Mid;0;0
210;7/07/1988;Mid;0;0
211;10/07/1988;Mid;0;0
212;4/08/1988;High;3;0
213;14/08/1988;High;0;0
214;14/08/1988;High;0;0
215;15/08/1988;High;3;0
216;15/08/1988;Mid;0;0
217;20/08/1988;Mid;0;0
218;20/08/1988;Mid;0;0
219;20/08/1988;Mid;0;0
220;29/08/1988;Mid;0;9
221;29/08/1988;Mid;0;36
222;29/08/1988;Mid;0;0
223;15/09/1988;Mid;0;0
224;13/10/1988;Mid;0;0
225;14/10/1988;Mid;1;0
226;16/10/1988;High;1;0
227;17/10/1988;Mid;0;6
228;17/10/1988;Mid;0;0
229;17/10/1988;Mid;0;0
230;18/10/1988;Mid;0;0
231;23/10/1988;Mid;0;0
232;26/10/1988;Mid;0;0
233;10/11/1988;Mid;0;0
234;10/11/1988;High;0;0
235;18/11/1988;High;0;0
236;21/11/1988;Mid;0;0
237;22/11/1988;Mid;0;0
238;22/11/1988;Mid;0;0
239;22/11/1988;Mid;0;0
240;22/11/1988;Mid;0;0
241;24/11/1988;Mid;0;0
242;18/12/1988;High;0;0
243;3/01/1989;Mid;0;0
244;26/02/1989;Mid;0;0
245;10/04/1989;Mid;0;0
246;4/09/1989;High;4;0
247;10/09/1989;Mid;0;0
248;10/09/1989;Mid;0;32
249;11/09/1989;Mid;0;0
250;12/09/1989;Mid;0;0
251;12/09/1989;Mid;0;0
252;21/10/1989;Mid;0;0
253;21/10/1989;Mid;0;0
254;31/10/1989;Mid;0;0
255;31/10/1989;Mid;0;0
256;1/05/1990;Mid;0;0
257;4/05/1990;Mid;0;0
258;24/08/1990;Mid;0;0
259;1/09/1990;Mid;0;0
260;4/09/1990;Mid;0;0
261;21/09/1990;High;0;0
262;8/10/1990;High;4;0
263;9/10/1990;Mid;0;0
264;19/10/1990;Mid;0;0
265;22/10/1990;Mid;0;3
266;25/10/1990;Mid;0;0
267;27/10/1990;High;1;948
268;29/10/1990;High;0;0
269;1/11/1990;Mid;0;0
270;2/11/1990;High;0;0
271;4/11/1990;Mid;0;7
272;5/11/1990;Mid;0;0
273;9/12/1990;High;0;0
274;2/02/1991;Mid;0;0
275;22/05/1991;Mid;0;0
276;23/05/1991;Mid;0;6
277;8/06/1991;Mid;0;0
278;19/09/1991;Mid;0;1
279;23/09/1991;Mid;0;0
280;24/09/1991;Mid;0;0
281;17/10/1991;Mid;0;0
282;17/10/1991;Mid;0;0
283;18/10/1991;Mid;0;0
284;15/11/1991;Mid;0;0
285;12/01/1992;Mid;0;0
286;15/02/1992;Mid;0;6
287;6/09/1992;Mid;0;5
288;21/09/1992;Mid;0;0
289;22/09/1992;Mid;0;10
290;6/10/1992;Mid;0;2
291;5/11/1992;Mid;0;0
292;8/11/1992;Mid;0;1
293;13/11/1992;Mid;0;6
294;19/11/1992;Mid;0;10
295;10/12/1992;Mid;0;0
296;24/01/1993;Mid;0;0
297;1/02/1993;Mid;0;14
298;24/02/1993;Mid;0;20
299;16/03/1993;High;0;0
300;20/03/1993;Mid;0;0
301;19/04/1993;High;0;0
302;27/04/1993;Mid;0;0
303;29/04/1993;Mid;0;4
304;29/04/1993;Mid;0;8
305;6/05/1993;Mid;0;11
306;1/06/1993;Mid;0;0
307;1/06/1993;Mid;0;0
308;10/06/1993;Mid;0;0
309;3/07/1993;High;0;0
310;14/07/1993;High;0;0
311;15/07/1993;High;0;0
312;29/07/1993;Mid;0;0
313;14/09/1993;Mid;0;0
314;15/09/1993;Mid;0;8
315;16/09/1993;Mid;0;0
316;1/10/1993;Mid;0;0
317;10/10/1993;Mid;1;11
318;19/10/1993;Mid;0;4
319;3/11/1993;Mid;0;13
320;20/11/1993;Mid;0;0
321;24/11/1993;Mid;0;0
322;13/12/1993;Mid;0;5
